InventoryLegSK	CarrierCode	FlightNumber	DepartureAirport	ArrivalAirport	DepartureDateTimeLocal	DepartureDateTimeUTC	ArrivalDateTimeLocal	ArrivalDateTimeUTC	ArrivalCountry	DepartureCountry	RouteGroup	Region	FlightCapacity	FlightStatus
9700269	FR	7178	CIA	VIE	2022-05-16 19:10:00	2022-05-16 17:10:00	2022-05-16 20:50:00	2022-05-16 18:50:00	Austria	Italy	CITY	EAST-ESFRIT	189	Cancelled
8956099	FR	2938	BRU	BCN	2022-06-14 21:55:00	2022-06-14 19:55:00	2022-06-14 23:59:00	2022-06-14 21:59:00	Spain	Belgium	CITY	BENL-ESPT	189	Departed
9491063	FR	9555	GRO	FMM	2022-06-16 13:40:00	2022-06-16 11:40:00	2022-06-16 15:25:00	2022-06-16 13:25:00	Germany	Spain	LEISURE	DE LEISURE	189	Departed
9572598	FR	2258	VLC	TRN	2022-09-09 10:30:00	2022-09-09 08:30:00	2022-09-09 12:10:00	2022-09-09 10:10:00	Italy	Spain	CITY	ESPT-IT	189	Departed
9716889	FR	6401	TSF	SUF	2022-05-13 21:20:00	2022-05-13 19:20:00	2022-05-13 22:50:00	2022-05-13 20:50:00	Italy	Italy	DOMESTIC	IT DOM	189	Cancelled
9618863	FR	4569	CAG	WMI	2022-09-28 09:30:00	2022-09-28 07:30:00	2022-09-28 12:05:00	2022-09-28 10:05:00	Poland	Italy	LEISURE	CE EUR LEISURE	189	Departed
9155711	FR	3018	CGN	CIA	2022-07-08 15:10:00	2022-07-08 13:10:00	2022-07-08 17:05:00	2022-07-08 15:05:00	Italy	Germany	CITY	DE-FRITIE	189	Cancelled
9672121	FR	4005	BGY	LDE	2022-09-23 15:50:00	2022-09-23 13:50:00	2022-09-23 17:25:00	2022-09-23 15:25:00	France	Italy	CITY	FR-IT	189	Cancelled
8993863	FR	6985	BCN	FCO	2022-07-22 19:35:00	2022-07-22 17:35:00	2022-07-22 21:20:00	2022-07-22 19:20:00	Italy	Spain	CITY	ESPT-IT	189	Departed
9609251	FR	2364	VIE	FAO	2022-07-06 15:35:00	2022-07-06 13:35:00	2022-07-06 18:10:00	2022-07-06 17:10:00	Portugal	Austria	LEISURE	CE EUR LEISURE	180	Departed
9140143	FR	8662	CGN	PMI	2022-07-12 12:05:00	2022-07-12 10:05:00	2022-07-12 14:20:00	2022-07-12 12:20:00	Spain	Germany	LEISURE	DE LEISURE	189	Departed
8990857	FR	1195	BLQ	STN	2022-06-30 20:25:00	2022-06-30 18:25:00	2022-06-30 21:35:00	2022-06-30 20:35:00	United Kingdom	Italy	CITY	LON CITY MULTI	189	Departed
9634987	FR	4683	GOT	ARN	2022-08-13 19:10:00	2022-08-13 17:10:00	2022-08-13 20:15:00	2022-08-13 18:15:00	Sweden	Sweden	DOMESTIC	OTHER DOM	197	Departed
9148135	FR	1681	BCN	FRA	2022-07-22 18:55:00	2022-07-22 16:55:00	2022-07-22 21:10:00	2022-07-22 19:10:00	Germany	Spain	CITY	DE-ESPT	189	Cancelled
